Address Name	Booth Number	Settlement Name	Settlement Number
הלל,17	84.4	ירושלים	3000
נרקיס,11	85.0	ירושלים	3000
הקרן הקיימת,14	87.1	ירושלים	3000
הקרן הקיימת,14	87.2	ירושלים	3000
הקרן הקיימת,14	87.3	ירושלים	3000
רבי עקיבא,7	89.1	ירושלים	3000
רבי עקיבא,7	89.2	ירושלים	3000
רבי עקיבא,7	89.3	ירושלים	3000
רבי עקיבא,7	89.4	ירושלים	3000
שמעון הצדיק,23	120.1	ירושלים	3000
שמעון הצדיק,23	120.2	ירושלים	3000
שמעון הצדיק,23	120.3	ירושלים	3000
שמעון הצדיק,23	120.4	ירושלים	3000
שמעון הצדיק,23	120.5	ירושלים	3000
שמעון הצדיק,23	120.6	ירושלים	3000
נטר,40	121.0	ירושלים	3000
יצחק אלחנן,4	134.1	ירושלים	3000
יצחק אלחנן,4	134.2	ירושלים	3000
יצחק אלחנן,4	134.3	ירושלים	3000
יצחק אלחנן,4	134.4	ירושלים	3000
יצחק אלחנן,4	134.5	ירושלים	3000
הגדוד העברי,22	149.1	ירושלים	3000
הגדוד העברי,22	149.2	ירושלים	3000
הגדוד העברי,22	149.3	ירושלים	3000
הגדוד העברי,22	149.4	ירושלים	3000
בן לברט,15	150.1	ירושלים	3000
בן לברט,15	150.2	ירושלים	3000
בן לברט,15	150.3	ירושלים	3000
בן לברט,15	150.4	ירושלים	3000
בן לברט,15	150.5	ירושלים	3000
בן לברט,15	150.6	ירושלים	3000
אוסישקין,38	165.1	ירושלים	3000
אוסישקין,38	165.2	ירושלים	3000
אוסישקין,38	165.3	ירושלים	3000
אוסישקין,38	165.4	ירושלים	3000
הרב והרבנית קאפח,20	188.1	ירושלים	3000
הרב והרבנית קאפח,20	188.2	ירושלים	3000
הרב והרבנית קאפח,20	188.3	ירושלים	3000
הרב והרבנית קאפח,20	188.4	ירושלים	3000
הרב והרבנית קאפח,20	188.5	ירושלים	3000
נרקיס,11	193.0	ירושלים	3000
אהל משה,42	197.0	ירושלים	3000
אהל משה,42	198.0	ירושלים	3000
אלוף שאלתיאל,1	201.1	ירושלים	3000
אלוף שאלתיאל,1	201.2	ירושלים	3000
אלוף שאלתיאל,1	201.3	ירושלים	3000
שיריזלי,6	203.0	ירושלים	3000
אהל משה,42	204.0	ירושלים	3000
אהל משה,42	206.0	ירושלים	3000
מנחם מנדל משקלוב,24	207.1	ירושלים	3000
מנחם מנדל משקלוב,24	207.2	ירושלים	3000
ישעיהו,7	208.1	ירושלים	3000
ישעיהו,7	208.2	ירושלים	3000
ישעיהו,7	208.3	ירושלים	3000
ישעיהו,7	208.4	ירושלים	3000
ישעיהו,7	208.5	ירושלים	3000
ישעיהו,7	208.6	ירושלים	3000
זכרון יעקב,5	209.1	ירושלים	3000
זכרון יעקב,5	209.2	ירושלים	3000
זכרון יעקב,5	209.3	ירושלים	3000
הרב אבן דנן,30	212.0	ירושלים	3000
החלוץ,47	213.1	ירושלים	3000
החלוץ,47	213.2	ירושלים	3000
החלוץ,47	213.3	ירושלים	3000
החלוץ,47	213.4	ירושלים	3000
החלוץ,47	213.5	ירושלים	3000
שחר,19	214.0	ירושלים	3000
הרב אבן דנן,30	217.0	ירושלים	3000
הרב אבן דנן,30	218.0	ירושלים	3000
שמואל הנביא,85	220.1	ירושלים	3000
שמואל הנביא,85	220.2	ירושלים	3000
שמואל הנביא,85	220.3	ירושלים	3000
שמואל הנביא,85	220.4	ירושלים	3000
שמואל הנביא,85	220.5	ירושלים	3000
בן ציון,24	222.1	ירושלים	3000
בן ציון,24	222.2	ירושלים	3000
בן ציון,24	222.3	ירושלים	3000
ויטל חיים,32	224.1	ירושלים	3000
ויטל חיים,32	224.2	ירושלים	3000
ויטל חיים,32	224.3	ירושלים	3000
ויטל חיים,32	224.4	ירושלים	3000
ויטל חיים,32	224.5	ירושלים	3000
זכרון יעקב,3	225.1	ירושלים	3000
זכרון יעקב,3	225.2	ירושלים	3000
זכרון יעקב,3	225.3	ירושלים	3000
בן לברט,15	228.1	ירושלים	3000
בן לברט,15	228.2	ירושלים	3000
בן לברט,15	228.3	ירושלים	3000
בן לברט,15	228.4	ירושלים	3000
הקבלן,8	237.1	ירושלים	3000
הקבלן,8	237.2	ירושלים	3000
הקבלן,8	237.3	ירושלים	3000
סורוצקין,38א	239.1	ירושלים	3000
סורוצקין,38א	239.2	ירושלים	3000
סורוצקין,38א	239.3	ירושלים	3000
"המ""ג,1"	242.1	ירושלים	3000
"המ""ג,1"	242.2	ירושלים	3000
"המ""ג,1"	242.3	ירושלים	3000
נג'ארה,27	249.1	ירושלים	3000
נג'ארה,27	249.2	ירושלים	3000
נג'ארה,27	249.3	ירושלים	3000
נג'ארה,27	249.4	ירושלים	3000
נג'ארה,27	249.5	ירושלים	3000
הרב טייב חי,46	253.0	ירושלים	3000
הרב אבן דנן,30	254.0	ירושלים	3000
הרב אבן דנן,30	256.0	ירושלים	3000
הרב טייב חי,46	258.1	ירושלים	3000
הרב טייב חי,46	258.2	ירושלים	3000
הרב טייב חי,46	258.3	ירושלים	3000
הרב טייב חי,46	258.4	ירושלים	3000
התומר,5	260.1	ירושלים	3000
התומר,5	260.2	ירושלים	3000
התומר,5	260.3	ירושלים	3000
התומר,5	260.4	ירושלים	3000
התומר,5	260.5	ירושלים	3000
שחר,19	261.0	ירושלים	3000
חכמי יוסף,28א	264.1	ירושלים	3000
חכמי יוסף,28א	264.2	ירושלים	3000
חכמי יוסף,28א	264.3	ירושלים	3000
חכמי יוסף,28א	264.4	ירושלים	3000
חכמי יוסף,28א	264.5	ירושלים	3000
שד הרצל,137	267.1	ירושלים	3000
שד הרצל,137	267.2	ירושלים	3000
שד הרצל,137	267.3	ירושלים	3000
שד הרצל,137	267.4	ירושלים	3000
שד הרצל,137	267.5	ירושלים	3000
שד הרצל,137	267.6	ירושלים	3000
בן ציון,7	269.1	ירושלים	3000
בן ציון,7	269.2	ירושלים	3000
בן ציון,7	269.3	ירושלים	3000
בן ציון,7	269.4	ירושלים	3000
בן ציון,7	269.5	ירושלים	3000
בזל,3	271.1	ירושלים	3000
בזל,3	271.2	ירושלים	3000
בזל,3	271.3	ירושלים	3000
בזל,3	271.4	ירושלים	3000
בזל,3	271.5	ירושלים	3000
מעגל בית המדרש,8	274.1	ירושלים	3000
מעגל בית המדרש,8	274.2	ירושלים	3000
מעגל בית המדרש,8	274.3	ירושלים	3000
שחר,19	275.0	ירושלים	3000
הפסגה,24	285.1	ירושלים	3000
הפסגה,24	285.2	ירושלים	3000
הפסגה,24	285.3	ירושלים	3000
הפסגה,24	285.4	ירושלים	3000
תורה ועבודה,6	294.1	ירושלים	3000
תורה ועבודה,6	294.2	ירושלים	3000
תורה ועבודה,6	294.3	ירושלים	3000
תורה ועבודה,6	294.4	ירושלים	3000
שד הרצל,137	296.1	ירושלים	3000
שד הרצל,137	296.2	ירושלים	3000
שד הרצל,137	296.3	ירושלים	3000
שד הרצל,137	296.4	ירושלים	3000
דולצ'ין,21	301.1	ירושלים	3000
דולצ'ין,21	301.2	ירושלים	3000
דולצ'ין,21	301.3	ירושלים	3000
דולצ'ין,21	301.4	ירושלים	3000
דולצ'ין,21	301.5	ירושלים	3000
דולצ'ין,21	301.6	ירושלים	3000
קוסטה ריקה,17	305.1	ירושלים	3000
קוסטה ריקה,17	305.2	ירושלים	3000
קוסטה ריקה,17	305.3	ירושלים	3000
קוסטה ריקה,17	305.4	ירושלים	3000
האייל,72	307.1	ירושלים	3000
האייל,72	307.2	ירושלים	3000
האייל,72	307.3	ירושלים	3000
האייל,72	307.4	ירושלים	3000
החרצית,10	308.1	ירושלים	3000
החרצית,10	308.2	ירושלים	3000
החרצית,10	308.3	ירושלים	3000
החרצית,10	308.4	ירושלים	3000
הרפוב הדומיניקנית,3	309.1	ירושלים	3000
הרפוב הדומיניקנית,3	309.2	ירושלים	3000
אולשוונגר,48	310.1	ירושלים	3000
אולשוונגר,48	310.2	ירושלים	3000
אולשוונגר,48	310.3	ירושלים	3000
אולשוונגר,3	312.1	ירושלים	3000
אולשוונגר,3	312.2	ירושלים	3000
אולשוונגר,3	312.3	ירושלים	3000
אולשוונגר,3	312.4	ירושלים	3000
אולשוונגר,3	312.5	ירושלים	3000
בורוכוב,9א	319.1	ירושלים	3000
בורוכוב,9א	319.2	ירושלים	3000
בורוכוב,9א	319.3	ירושלים	3000
זנגויל,25	321.1	ירושלים	3000
זנגויל,25	321.2	ירושלים	3000
זנגויל,25	321.3	ירושלים	3000
המעיין,2	322.0	ירושלים	3000
המעיין,2	323.0	ירושלים	3000
דהומיי,7	326.0	ירושלים	3000
הנורית,18	327.1	ירושלים	3000
הנורית,18	327.2	ירושלים	3000
הנורית,18	327.3	ירושלים	3000
הנורית,18	327.4	ירושלים	3000
צ'ילה,8	328.0	ירושלים	3000
צ'ילה,8	330.0	ירושלים	3000
גרינולד,8	331.0	ירושלים	3000
וולטה העלית,12	333.1	ירושלים	3000
וולטה העלית,12	333.2	ירושלים	3000
וולטה העלית,12	333.3	ירושלים	3000
וולטה העלית,12	333.4	ירושלים	3000
וולטה העלית,12	333.5	ירושלים	3000
וולטה העלית,12	333.6	ירושלים	3000
גרינולד,8	334.0	ירושלים	3000
רקם,2	335.1	ירושלים	3000
רקם,2	335.2	ירושלים	3000
דהומיי,6	336.0	ירושלים	3000
דהומיי,6	337.0	ירושלים	3000
שטרן אברהם,3	341.0	ירושלים	3000
שד שרת משה,1	346.1	ירושלים	3000
שד שרת משה,1	346.2	ירושלים	3000
שד שרת משה,1	349.1	ירושלים	3000
שד שרת משה,1	349.2	ירושלים	3000
שד שרת משה,1	349.3	ירושלים	3000
שד שרת משה,1	349.4	ירושלים	3000
שד שרת משה,1	349.5	ירושלים	3000
שד שרת משה,1	349.6	ירושלים	3000
שטרן אברהם,3	350.0	ירושלים	3000
גרינולד,8	358.0	ירושלים	3000
שד דב יוסף,2	362.1	ירושלים	3000
שד דב יוסף,2	362.2	ירושלים	3000
שד דב יוסף,2	362.3	ירושלים	3000
מרגולין,3	364.1	ירושלים	3000
מרגולין,3	364.2	ירושלים	3000
מרגולין,3	364.3	ירושלים	3000
בר יוחאי,53	366.0	ירושלים	3000
רבי צדוק,12	367.1	ירושלים	3000
רבי צדוק,12	367.2	ירושלים	3000
רבי צדוק,12	367.3	ירושלים	3000
בר יוחאי,53	369.0	ירושלים	3000
בעהם אריה,7	370.0	ירושלים	3000
ש פת,3	372.0	ירושלים	3000
אליעזר הגדול,4	373.0	ירושלים	3000
יוחנן בן זכאי,33	376.1	ירושלים	3000
יוחנן בן זכאי,33	376.2	ירושלים	3000
יוחנן בן זכאי,33	376.3	ירושלים	3000
יוחנן בן זכאי,33	376.4	ירושלים	3000
יוחנן בן זכאי,33	376.5	ירושלים	3000
יהודה הנשיא,26	385.1	ירושלים	3000
יהודה הנשיא,26	385.2	ירושלים	3000
יהודה הנשיא,26	385.3	ירושלים	3000
יהודה הנשיא,26	385.4	ירושלים	3000
בעהם אריה,7	386.0	ירושלים	3000
אליעזר הגדול,4	387.0	ירושלים	3000
רבי חייא,3	388.1	ירושלים	3000
רבי חייא,3	388.2	ירושלים	3000
רבי חייא,3	388.3	ירושלים	3000
רבי חייא,3	388.4	ירושלים	3000
הורקניה,21	392.1	ירושלים	3000
הורקניה,21	392.2	ירושלים	3000
הורקניה,21	392.3	ירושלים	3000
הורקניה,21	392.4	ירושלים	3000
אהרוני,14	395.1	ירושלים	3000
אהרוני,14	395.2	ירושלים	3000
אהרוני,14	395.3	ירושלים	3000
אהרוני,14	395.4	ירושלים	3000
אהרוני,14	395.5	ירושלים	3000
"הפלמ""ח,57"	406.0	ירושלים	3000
המשורינים,4	408.1	ירושלים	3000
המשורינים,4	408.2	ירושלים	3000
"הפלמ""ח,57"	412.0	ירושלים	3000
שערי תורה,2	417.1	ירושלים	3000
שערי תורה,2	417.2	ירושלים	3000
שערי תורה,2	417.3	ירושלים	3000
הרב פרנק,20	418.1	ירושלים	3000
הרב פרנק,20	418.2	ירושלים	3000
הרב פרנק,20	418.3	ירושלים	3000
הרב פרנק,20	418.4	ירושלים	3000
הרב פרנק,20	418.5	ירושלים	3000
רזיאל דוד,13	422.1	ירושלים	3000
רזיאל דוד,13	422.2	ירושלים	3000
רזיאל דוד,13	422.3	ירושלים	3000
רזיאל דוד,13	422.4	ירושלים	3000
תמיר שמואל,74	423.0	ירושלים	3000
דהומיי,6	425.0	ירושלים	3000
בר יוחאי,53	426.0	ירושלים	3000
בית צפפה	427.1	ירושלים	3000
בית צפפה	427.2	ירושלים	3000
בית צפפה	427.3	ירושלים	3000
בית צפפה	427.4	ירושלים	3000
כט' בנובמבר,13	433.1	ירושלים	3000
כט' בנובמבר,13	433.2	ירושלים	3000
כט' בנובמבר,13	433.3	ירושלים	3000
כט' בנובמבר,13	433.4	ירושלים	3000
כובשי קטמון,15	434.1	ירושלים	3000
כובשי קטמון,15	434.2	ירושלים	3000
כובשי קטמון,15	434.3	ירושלים	3000
כובשי קטמון,15	434.4	ירושלים	3000
כובשי קטמון,15	434.5	ירושלים	3000
עמק רפאים,22	436.1	ירושלים	3000
עמק רפאים,22	436.2	ירושלים	3000
מסריק,10	437.1	ירושלים	3000
מסריק,10	437.2	ירושלים	3000
רחל אמנו,27	439.1	ירושלים	3000
רחל אמנו,27	439.2	ירושלים	3000
רחל אמנו,27	439.3	ירושלים	3000
הקבלן,8	443.1	ירושלים	3000
הקבלן,8	443.2	ירושלים	3000
הקבלן,8	443.3	ירושלים	3000
הקבלן,8	443.4	ירושלים	3000
הקבלן,8	443.5	ירושלים	3000
הקבלן,8	443.6	ירושלים	3000
מעלות כיסופים,5	447.0	ירושלים	3000
קדושי בבל,22	451.0	ירושלים	3000
יהודה,31	456.1	ירושלים	3000
יהודה,31	456.2	ירושלים	3000
יהודה,31	456.3	ירושלים	3000
אסתר המלכה,3	460.1	ירושלים	3000
אסתר המלכה,3	460.2	ירושלים	3000
גדעון,10	462.1	ירושלים	3000
גדעון,10	462.2	ירושלים	3000
גדעון,14	463.0	ירושלים	3000
בית הערבה,7	468.1	ירושלים	3000
בית הערבה,7	468.2	ירושלים	3000
בית הערבה,7	468.3	ירושלים	3000
בית הערבה,7	468.4	ירושלים	3000
בית הערבה,7	468.5	ירושלים	3000
קבוץ גלויות,4	473.1	ירושלים	3000
קבוץ גלויות,4	473.2	ירושלים	3000
קבוץ גלויות,4	473.3	ירושלים	3000
קבוץ גלויות,4	473.4	ירושלים	3000
קבוץ גלויות,4	473.5	ירושלים	3000
נחשון,11	474.1	ירושלים	3000
נחשון,11	474.2	ירושלים	3000
נחשון,11	474.3	ירושלים	3000
נחשון,11	474.4	ירושלים	3000
דרך בית לחם,113	477.1	ירושלים	3000
דרך בית לחם,113	477.2	ירושלים	3000
דרך בית לחם,113	477.3	ירושלים	3000
דרך בית לחם,113	477.4	ירושלים	3000
דרך בית לחם,113	477.5	ירושלים	3000
דרך בית לחם,117	478.0	ירושלים	3000
"בית""ר,8"	482.0	ירושלים	3000
"בית""ר,8"	485.1	ירושלים	3000
"בית""ר,8"	485.2	ירושלים	3000
"בית""ר,8"	485.3	ירושלים	3000
"בית""ר,8"	485.4	ירושלים	3000
"בית""ר,8"	485.5	ירושלים	3000
"בית""ר,8"	485.6	ירושלים	3000
דרך בית לחם,117	486.1	ירושלים	3000
דרך בית לחם,117	486.2	ירושלים	3000
דרך בית לחם,117	486.3	ירושלים	3000
דרך בית לחם,117	486.4	ירושלים	3000
דרך בית לחם,117	486.5	ירושלים	3000
דרך בית לחם,117	486.6	ירושלים	3000
כפר עציון,1	488.0	ירושלים	3000
בית צפפה	489.1	ירושלים	3000
בית צפפה	489.2	ירושלים	3000
בתי מחסה	500.1	ירושלים	3000
בתי מחסה	500.2	ירושלים	3000
בתי מחסה	500.3	ירושלים	3000
בתי מחסה	500.4	ירושלים	3000
גריק פטריאכט,26	501.1	ירושלים	3000
גריק פטריאכט,26	501.2	ירושלים	3000
גריק פטריאכט,26	501.3	ירושלים	3000
גריק פטריאכט,26	501.4	ירושלים	3000
דרך בר-לב	518.1	ירושלים	3000
דרך בר-לב	518.2	ירושלים	3000
דרך בר-לב	518.3	ירושלים	3000
דרך בר-לב	518.4	ירושלים	3000
דרך בר-לב	518.5	ירושלים	3000
דרך בר-לב	518.6	ירושלים	3000
"אצ""ל,20"	521.0	ירושלים	3000
לוחמי הגטאות,7	530.1	ירושלים	3000
לוחמי הגטאות,7	530.2	ירושלים	3000
לוחמי הגטאות,7	530.3	ירושלים	3000
אלמדינה מונורה,142	545.1	ירושלים	3000
אלמדינה מונורה,142	545.2	ירושלים	3000
איחוד הכפר	548.0	ירושלים	3000
ככר ארן זלמן,11	550.1	ירושלים	3000
ככר ארן זלמן,11	550.2	ירושלים	3000
ככר ארן זלמן,11	550.3	ירושלים	3000
"מעגלי הרי""ם לוין,27"	554.1	ירושלים	3000
"מעגלי הרי""ם לוין,27"	554.2	ירושלים	3000
"מעגלי הרי""ם לוין,27"	554.3	ירושלים	3000
"מעגלי הרי""ם לוין,27"	554.4	ירושלים	3000
"מעגלי הרי""ם לוין,27"	554.5	ירושלים	3000
"מעגלי הרי""ם לוין,27"	554.6	ירושלים	3000
ככר ארן זלמן,7	556.1	ירושלים	3000
ככר ארן זלמן,7	556.2	ירושלים	3000
ככר ארן זלמן,7	556.3	ירושלים	3000
ככר ארן זלמן,7	556.4	ירושלים	3000
ההגנה,13	562.1	ירושלים	3000
ההגנה,13	562.2	ירושלים	3000
ההגנה,13	562.3	ירושלים	3000
"אצ""ל,20"	565.0	ירושלים	3000
"אצ""ל,20"	566.0	ירושלים	3000
הגננת,29	567.1	ירושלים	3000
הגננת,29	567.2	ירושלים	3000
הגננת,29	567.3	ירושלים	3000
הגננת,29	567.4	ירושלים	3000
הגננת,29	567.5	ירושלים	3000
הגננת,29	567.6	ירושלים	3000
נטר,1	569.1	ירושלים	3000
נטר,1	569.2	ירושלים	3000
נטר,1	569.3	ירושלים	3000
נטר,1	569.4	ירושלים	3000
נטר,1	569.5	ירושלים	3000
"מח""ל,9"	571.1	ירושלים	3000
"מח""ל,9"	571.2	ירושלים	3000
"מח""ל,9"	571.3	ירושלים	3000
"מח""ל,9"	571.4	ירושלים	3000
"מח""ל,9"	571.5	ירושלים	3000
"מח""ל,9"	571.6	ירושלים	3000
"מח""ל,9"	571.7	ירושלים	3000
מעגלות הרב פרדס,39	572.1	ירושלים	3000
מעגלות הרב פרדס,39	572.2	ירושלים	3000
מעגלות הרב פרדס,39	572.3	ירושלים	3000
מעגלות הרב פרדס,39	572.4	ירושלים	3000
מעגלות הרב פרדס,39	572.5	ירושלים	3000
מעגלות הרב פרדס,39	572.6	ירושלים	3000
שד נוה יעקב,38ב	575.0	ירושלים	3000
בלבן מאיר,6	576.0	ירושלים	3000
קדושי בבל,22	587.0	ירושלים	3000
הרואה,21	589.1	ירושלים	3000
הרואה,21	589.2	ירושלים	3000
הרואה,21	589.3	ירושלים	3000
קדושי בבל,1	591.1	ירושלים	3000
קדושי בבל,1	591.2	ירושלים	3000
קדושי בבל,1	591.3	ירושלים	3000
רזיאל דוד,29	592.0	ירושלים	3000
ורדינון,1	595.1	ירושלים	3000
ורדינון,1	595.2	ירושלים	3000
ורדינון,1	595.3	ירושלים	3000
ורדינון,1	595.4	ירושלים	3000
ורדינון,12	598.1	ירושלים	3000
ורדינון,12	598.2	ירושלים	3000
ורדינון,12	598.3	ירושלים	3000
אדם,28	613.1	ירושלים	3000
אדם,28	613.2	ירושלים	3000
אדם,28	613.3	ירושלים	3000
אדם,28	613.4	ירושלים	3000
אדם,28	613.5	ירושלים	3000
"אצ""ל,20"	615.0	ירושלים	3000
ירושלים	623.0	ירושלים	3000
קדושי בבל,22	634.0	ירושלים	3000
קדושי בבל,22	635.0	ירושלים	3000
קדושי בבל,22	637.0	ירושלים	3000
קדושי בבל,22	638.0	ירושלים	3000
רזיאל דוד,29	641.0	ירושלים	3000
קדושי בבל,22	643.0	ירושלים	3000
מעגלות הרב פרדס,39	650.0	ירושלים	3000
הגננת,29	674.0	ירושלים	3000
מרגלית,411	676.1	ירושלים	3000
מרגלית,411	676.2	ירושלים	3000
מרגלית,411	676.3	ירושלים	3000
הדולב,423	677.1	ירושלים	3000
הדולב,423	677.2	ירושלים	3000
הדולב,423	677.3	ירושלים	3000
הדולב,423	677.4	ירושלים	3000
הדולב,423	677.5	ירושלים	3000
הדולב,423	677.6	ירושלים	3000
צביה ויצחק	682.1	ירושלים	3000
צביה ויצחק	682.2	ירושלים	3000
שוהם,526	684.1	ירושלים	3000
שוהם,526	684.2	ירושלים	3000
שבו,501	693.1	ירושלים	3000
שבו,501	693.2	ירושלים	3000
שד נוה יעקב,38א	698.1	ירושלים	3000
שד נוה יעקב,38א	698.2	ירושלים	3000
שד נוה יעקב,38א	698.3	ירושלים	3000
בלבן מאיר,6	700.0	ירושלים	3000
צונדק,1	706.1	ירושלים	3000
צונדק,1	706.2	ירושלים	3000
צונדק,1	706.3	ירושלים	3000
צונדק,1	706.4	ירושלים	3000
צונדק,26	708.1	ירושלים	3000
צונדק,26	708.2	ירושלים	3000
אסירי ציון,2	709.1	ירושלים	3000
אסירי ציון,2	709.2	ירושלים	3000
אסירי ציון,2	709.3	ירושלים	3000
אסירי ציון,2	709.4	ירושלים	3000
אסירי ציון,2	709.5	ירושלים	3000
מעגלות הרב פרדס,39	712.0	ירושלים	3000
בלבן מאיר,6	713.0	ירושלים	3000
שד נוה יעקב,38	714.1	ירושלים	3000
שד נוה יעקב,38	714.2	ירושלים	3000
שד נוה יעקב,38	714.3	ירושלים	3000
שד נוה יעקב,38	714.4	ירושלים	3000
"אצ""ל,20"	716.0	ירושלים	3000
מעלות כיסופים,5	718.0	ירושלים	3000
רקנטי אברהם,6	719.1	ירושלים	3000
רקנטי אברהם,6	719.2	ירושלים	3000
רקנטי אברהם,6	719.3	ירושלים	3000
שד דיין משה,135	720.0	ירושלים	3000
השישה עשר,19	722.1	ירושלים	3000
השישה עשר,19	722.2	ירושלים	3000
השישה עשר,19	722.3	ירושלים	3000
השישה עשר,34	725.1	ירושלים	3000
השישה עשר,34	725.2	ירושלים	3000
השישה עשר,34	725.3	ירושלים	3000
השישה עשר,34	725.4	ירושלים	3000
השישה עשר,34	725.5	ירושלים	3000
השישה עשר,34	725.6	ירושלים	3000
מזל טלה,11	729.1	ירושלים	3000
מזל טלה,11	729.2	ירושלים	3000
מזל טלה,11	729.3	ירושלים	3000
מזל טלה,11	729.4	ירושלים	3000
תמיר שמואל,74	730.0	ירושלים	3000
תמיר שמואל,74	732.0	ירושלים	3000
רחמילביץ משה,1	737.1	ירושלים	3000
רחמילביץ משה,1	737.2	ירושלים	3000
רחמילביץ משה,1	737.3	ירושלים	3000
רחמילביץ משה,1	737.4	ירושלים	3000
גרשון מאיר,21	740.1	ירושלים	3000
גרשון מאיר,21	740.2	ירושלים	3000
גרשון מאיר,21	740.3	ירושלים	3000
גרשון מאיר,21	740.4	ירושלים	3000
מחנה פליטים קלנדיה	742.0	ירושלים	3000
מזל דלי,21	745.0	ירושלים	3000
מזל דלי,21	746.0	ירושלים	3000
גרשון מאיר,26	750.1	ירושלים	3000
גרשון מאיר,26	750.2	ירושלים	3000
